Date,Sagemont,Bammel,Highland,Braeburn,Event
10/1/15 0:00,11.88,10.6,21.6,14.16,
11/1/15 0:00,3.8,4.24,3.6,2.6,
12/1/15 0:00,3.64,3.88,3.92,4,
1/1/16 0:00,2.92,3.24,4.16,2.6,
2/1/16 0:00,1.52,1.8,1.6,1.48,
3/1/16 0:00,2.6,4.6,4.88,4.28,
4/1/16 0:00,7.56,14.08,7.48,12.64,
5/1/16 0:00,7.88,8.56,10.52,8.16,
6/1/16 0:00,8.32,13.48,11.2,9.48,
7/1/16 0:00,2.76,2.44,1.24,2.68,
8/1/16 0:00,7.64,9.04,12.2,4.48,
9/1/16 0:00,3.56,1.92,2.76,0.72,
10/1/16 0:00,0.36,0.24,0.16,0.16,
11/1/16 0:00,3.6,2.64,2.72,3.08,
12/1/16 0:00,4.08,4.6,3.68,2.72,
1/1/17 0:00,3.52,6.2,4.48,9.64,
2/1/17 0:00,2,3.16,1.6,2.16,
3/1/17 0:00,8.64,6.64,4.28,4.48,
4/1/17 0:00,4.2,2.64,1.84,2.2,
5/1/17 0:00,4,2.04,3.16,5.28,
6/1/17 0:00,5.88,4.12,9,8.24,
7/1/17 0:00,0.88,6.96,2.12,0.96,
8/1/17 0:00,41.76,35.12,30.16,39.96,Harvey
9/1/17 0:00,4.16,1,3.68,1.68,
10/1/17 0:00,1.24,3,4.32,1.44,
11/1/17 0:00,1.12,0.28,1.08,0.56,
12/1/17 0:00,4.36,3.2,3.04,5.2,
1/1/18 0:00,3.52,3.08,3.56,2.72,
2/1/18 0:00,4.48,5,5.8,4.8,
3/1/18 0:00,2.08,4.36,2.88,2.6,
4/1/18 0:00,2.96,2.28,2.32,3.16,
5/1/18 0:00,1.44,3.04,3.04,3.16,
6/1/18 0:00,5.92,5.8,4.88,2.96,
7/1/18 0:00,7.48,6.2,5.4,9.12,
8/1/18 0:00,2.4,3.96,3.64,0.12,
9/1/18 0:00,11.48,9.4,10.88,6.24,
10/1/18 0:00,4.6,7.36,7.48,6.76,
11/1/18 0:00,2.12,2.12,2.72,1.24,
12/1/18 0:00,7.2,8.44,8.76,8.64,
